month,Pop,PfPR U5,year,Run_Number,Habitat_Multiplier,admin_name
3,989.0666666667,0.0004044216770019,2010,0,0.025118864315095794,AA
4,988.3333333333,0.0,2010,0,0.025118864315095794,AA
5,984.7,0.0,2010,0,0.025118864315095794,AA
6,986.5666666667,0.0,2010,0,0.025118864315095794,AA
7,988.0666666667,0.0,2010,0,0.025118864315095794,AA
8,983.2,0.0,2010,0,0.025118864315095794,AA
9,976.3666666667,0.0,2010,0,0.025118864315095794,AA
10,975.3,0.0,2010,0,0.025118864315095794,AA
11,980.2,0.0,2010,0,0.025118864315095794,AA
12,975.4,0.0,2010,0,0.025118864315095794,AA
1,982.5666666667,0.0,2011,0,0.025118864315095794,AA
2,980.3,0.0,2011,0,0.025118864315095794,AA
3,978.3,0.0,2011,0,0.025118864315095794,AA
4,985.4333333333,0.0,2011,0,0.025118864315095794,AA
5,979.9666666667,0.0,2011,0,0.025118864315095794,AA
6,975.5333333333,0.0,2011,0,0.025118864315095794,AA
7,985.2333333333,0.0,2011,0,0.025118864315095794,AA
8,989.4,0.0,2011,0,0.025118864315095794,AA
9,983.5666666667,0.0,2011,0,0.025118864315095794,AA
10,974.3666666667,0.0,2011,0,0.025118864315095794,AA
11,975.3666666667,0.0,2011,0,0.025118864315095794,AA
12,980.5,0.0,2011,0,0.025118864315095794,AA
1,981.0333333333,0.0,2012,0,0.025118864315095794,AA
2,978.4,0.0,2012,0,0.025118864315095794,AA
3,981.7,0.0,2012,0,0.025118864315095794,AA
4,982.1,0.0,2012,0,0.025118864315095794,AA
5,984.6333333333,0.0,2012,0,0.025118864315095794,AA
6,986.1,0.0,2012,0,0.025118864315095794,AA
7,979.7333333333,0.0,2012,0,0.025118864315095794,AA
8,983.5333333333,0.0,2012,0,0.025118864315095794,AA
9,986.5,0.0,2012,0,0.025118864315095794,AA
10,981.2,0.0,2012,0,0.025118864315095794,AA
11,986.2333333333,0.0,2012,0,0.025118864315095794,AA
12,992.5333333333,0.0,2012,0,0.025118864315095794,AA
1,992.3666666667,0.0,2013,0,0.025118864315095794,AA
2,999.4666666667,0.0,2013,0,0.025118864315095794,AA
3,1001.433333333,0.0,2013,0,0.025118864315095794,AA
4,1002.466666667,0.0,2013,0,0.025118864315095794,AA
5,1002.8,0.0,2013,0,0.025118864315095794,AA
6,1009.066666667,0.0,2013,0,0.025118864315095794,AA
7,1011.7,0.0,2013,0,0.025118864315095794,AA
8,1016.4,0.0,2013,0,0.025118864315095794,AA
9,1011.466666667,0.0,2013,0,0.025118864315095794,AA
10,1020.066666667,0.0,2013,0,0.025118864315095794,AA
11,1020.266666667,0.0,2013,0,0.025118864315095794,AA
